NAME OF THE EXERCISE,DURATION ,TIME OF DAY,DESCRIPTION ,BENEFITS 
Walking ,30-45 mins,Morning,"Walking in the morning helps regulate cortisol (stress hormone), which can be high in women with PCOS. It sets a positive tone for the day and helps improve mental clarity","Kick-starts metabolism for the day
Improves insulin sensitivity, which helps in managing PCOS symptoms
Boosts mood and energy levels, reducing fatigue
Helps in weight management"
Strength Training,30-40 mins,Evening,"Examples:
Squats
Lunges
Push-ups
Light weight lifting    Description: Your body temperature is higher in the afternoon, which makes it a great time for strength training. This can lead to better muscle performance and improved endurance, enhancing the effectiveness of the workout.","Builds lean muscle mass, improving metabolism and insulin resistance
Boosts long-term fat burning
Helps regulate blood sugar, which is crucial for managing PCOS"
Swimming,30-45 mins,Evening,Swimming or cycling after work or school helps clear the mind and reduces physical stress. It’s a refreshing way to end the day while boosting physical activity levels.,"Provides a full-body workout, improving cardiovascular health
Burns calories without putting stress on joints
Reduces body fat, which helps regulate hormone levels in women with PCOS"
Low-Impact Cardio,30-40 mins,Evening,Helps release pent-up stress from the day and is gentle enough to avoid disrupting sleep while still offering an effective workout.,"Improves heart health and blood circulation
Supports weight management, which is crucial in PCOS management
Low-impact nature is gentle on joints, ideal for daily workouts"
Hatha Yoga,20-30 mins,Morning,A gentle introduction to basic yoga posture,"Improves flexibility, strength, and balance; reduces stress."
Vinyasa Yoga,20-30 mins,Morning,"A flow of postures synchronized with breathing, offering more movement","Enhances cardiovascular health, builds strength, increases flexibility."
Ashtanga Yoga,20-30 mins,Morning,A structured and rigorous sequence of poses performed in the same order.,"Builds stamina, improves focus, increases muscle strength."
Bikram Yoga,20-30 mins,Morning,A series of 26 poses performed in a hot room.,"Detoxifies the body, improves flexibility, aids in weight loss."
Bhujangasana (Cobra Pose),20-30 mins,Morning,A gentle backbend that opens the chest and strengthens the spine.,"Stimulates ovarian function, improves circulation, and reduces stress."
Dhanurasana (Bow Pose),20-30 mins,Morning,"The body forms a bow shape, stretching the back, abdomen, and thighs.","Balances hormones, strengthens reproductive organs, and improves digestion."
Supta Baddha Konasana,20-30 mins,Morning,A reclining pose that opens the hips and stretches the inner thighs.,"Improves blood flow to reproductive organs, reduces menstrual discomfort, and relaxes the mind"
Malasana,20-30 mins,Morning,"A deep squat that stretches the groin, hips, and lower back.","Improves digestion, balances hormones, and stimulates the reproductive system."
Paschimottanasana,20-30 mins,Evening,A seated forward fold that stretches the hamstrings and lower back.,"Stimulates ovaries and uterus, reduces stress, and improves insulin sensitivity."
